NAME,ADDRESS_AB,longitude,latitude
St. Clare,"12455 Coventry Hills Way, N.E.",-114.0453956,51.16474253
Capitol Hill,2210 - 18 Street N.W.,-114.1039175,51.07207663
Richmond,2701 - 22 Street S.W. c/o Richmond Elementary Schoo,-114.1150386,51.03013271
Captain John Palliser,1484 Northmount Drive N.W.,-114.1360161,51.09636485
Bishop Pinkham,3304 - 63 Avenue S.W.,-114.1306992,50.99726298
Coventry Hills,12350 Coventry Hills Way NE,-114.0514137,51.1651804
Father Lacombe,3615 Radcliffe Drive S.E.,-113.9832447,51.04738092
University of Calgary - Downtown Campus,,-114.0821275,51.0463613
McKenzie Highlands,25 McKenzie Towne Dr. SE,-113.9700732,50.91099366
Rundle College Junior High,7375 - 17 Avenue SW,-114.1939221,51.03689411
Bowness High,4627 - 77 Street N.W.,-114.200251,51.09317526
Thomas B Riley,3915 - 69 Street N.W.,-114.1890516,51.08752917
Riverbend,65 Rivervalley Drive S.E.,-114.0185021,50.97215624
Roland Michener,5958 - 4 Avenue N.E.,-113.9473997,51.05701939
St. Jude,730 Woodbine Boulevard S.W.,-114.1334374,50.94295224
St. Boniface Elementary,927 Lake Sylvan Drive S.E.,-114.0423413,50.94306371
Notre Dame High,11900 Country Village Link NE,-114.065834,51.15765941
Lycee Louis Pasteur,4099 Garrison Blvd. S.W.,-114.1144831,51.01764277
Rosemont,19 Rosevale Drive N.W.,-114.0923733,51.07787121
Marshall Springs,1100 Everridge Drive S.W.,-114.1123004,50.91144484
Mount Royal,2234 - 14 Street S.W.,-114.0939102,51.03472234
Peter Lougheed,148 Saddletree Close NE,-113.9556832,51.13066963
King George,2108 - 10 Street N.W.,-114.0840555,51.07089707
Southwest Elementary Campus,898 Sylvester Cres. SW,-114.0825466,50.95898072
Jennie Elliott,3031 Lindsay Drive S.W.,-114.1272286,50.99612956
Renfrew Thomas W. Buchanan Centre,2050 - 21 Street N.E.,-114.0560057,50.9019437
St. Bernadette,55 Lynndale Crescent S.E.,-114.0091978,50.99039088
Fairview,7840 Fairmount Drive S.E.,-114.05945,50.98398556
Le Roi Daniels,47 Fyffe Road S.E.,-114.0579556,50.98385836
Woodlands,88 Woodgreen Drive S.W.,-114.1069696,50.93893519
Rundle College Senior High,7375 - 17 Avenue SW,-114.1939221,51.03689411
St. Monica,235 - 18 Avenue S.W.,-114.0678144,51.03676979
Mount Royal University - Holy Cross Campus,,-114.0670812,51.03243349
Valley Creek,10951 Hidden Valley Dr NW,-114.1166729,51.15023383
James Fowler High,4004 - 4 Street N.W.,-114.0705163,51.08653215
Christ the King Catholic,333 Cranston Way SE,-113.9759703,50.88783692
Our Lady of Peace Elementary Junior High,14826 Millrise Hill S.W.,-114.0877102,50.91848506
William D. Pratt,9850 Royal Oak Drive Nw,-114.2240926,51.14936065
Sir Wilfrid Laurier,819 - 32 Street S.E.,-113.9893061,51.04573477
